Graph summary:
  N (nodes) : 1773
  M (edges) : 90254
  Dangling nodes: 1483

Top 1773 nodes by PageRank:
  node 140 : 0.0016147410
  node 156 : 0.0016147410
  node 168 : 0.0016147410
  node 124 : 0.0016147410
  node 152 : 0.0016147410
  node 148 : 0.0016147410
  node 147 : 0.0016147410
  node 145 : 0.0016147410
  node 142 : 0.0016147410
  node 292 : 0.0016147410
  node 141 : 0.0016147410
  node 138 : 0.0016147410
  node 137 : 0.0016147410
  node 136 : 0.0016147410
  node 171 : 0.0016147410
  node 288 : 0.0016147410
  node 296 : 0.0016147410
  node 159 : 0.0016147410
  node 167 : 0.0016147410
  node 163 : 0.0016147410
  node 280 : 0.0016147264
  node 279 : 0.0016147264
  node 275 : 0.0016147264
  node 289 : 0.0016147264
  node 287 : 0.0016147264
  node 283 : 0.0016147264
  node 262 : 0.0016147264
  node 264 : 0.0016147264
  node 290 : 0.0016147264
  node 291 : 0.0016147264
  node 293 : 0.0016147264
  node 266 : 0.0016147264
  node 267 : 0.0016147264
  node 270 : 0.0016147264
  node 244 : 0.0016147264
  node 297 : 0.0016147264
  node 298 : 0.0016147264
  node 269 : 0.0016147264
  node 153 : 0.0016147264
  node 190 : 0.0016147264
  node 189 : 0.0016147264
  node 188 : 0.0016147264
  node 187 : 0.0016147264
  node 186 : 0.0016147264
  node 175 : 0.0016147264
  node 169 : 0.0016147264
  node 162 : 0.0016147264
  node 158 : 0.0016147264
  node 157 : 0.0016147264
  node 260 : 0.0016147264
  node 143 : 0.0016147264
  node 139 : 0.0016147264
  node 128 : 0.0016147264
  node 125 : 0.0016147264
  node 121 : 0.0016147264
  node 85 : 0.0016147264
  node 82 : 0.0016147264
  node 8 : 0.0016147264
  node 7 : 0.0016147264
  node 196 : 0.0016147264
  node 191 : 0.0016147264
  node 250 : 0.0016147264
  node 261 : 0.0016147264
  node 237 : 0.0016147264
  node 231 : 0.0016147264
  node 227 : 0.0016147264
  node 225 : 0.0016147264
  node 220 : 0.0016147264
  node 217 : 0.0016147264
  node 213 : 0.0016147264
  node 210 : 0.0016147264
  node 209 : 0.0016147264
  node 206 : 0.0016147264
  node 205 : 0.0016147264
  node 204 : 0.0016147264
  node 200 : 0.0016147264
  node 216 : 0.0016147264
  node 198 : 0.0016147264
  node 36 : 0.0016147117
  node 304 : 0.0015805435
  node 302 : 0.0015528870
  node 485 : 0.0007015708
  node 303 : 0.0004576988
  node 315 : 0.0004467156
  node 518 : 0.0004399450
  node 603 : 0.0004225531
  node 1003 : 0.0004106291
  node 306 : 0.0004032708
  node 325 : 0.0003986016
  node 305 : 0.0003944806
  node 316 : 0.0003913081
  node 318 : 0.0003906976
  node 307 : 0.0003904460
  node 323 : 0.0003901251
  node 536 : 0.0003883594
  node 1086 : 0.0003881467
  node 319 : 0.0003866705
  node 326 : 0.0003859037
  node 330 : 0.0003815323
  node 317 : 0.0003781982
  node 327 : 0.0003774272
  node 324 : 0.0003773291
  node 310 : 0.0003746630
  node 331 : 0.0003731077
  node 808 : 0.0003705342
  node 415 : 0.0003700378
  node 308 : 0.0003690360
  node 337 : 0.0003688423
  node 328 : 0.0003687661
  node 1087 : 0.0003656688
  node 877 : 0.0003654169
  node 581 : 0.0003653918
  node 341 : 0.0003646507
  node 342 : 0.0003646507
  node 329 : 0.0003646312
  node 1042 : 0.0003617777
  node 635 : 0.0003614437
  node 587 : 0.0003613715
  node 582 : 0.0003611373
  node 338 : 0.0003604337
  node 339 : 0.0003604337
  node 336 : 0.0003603658
  node 344 : 0.0003601750
  node 601 : 0.0003567518
  node 938 : 0.0003566879
  node 621 : 0.0003565296
  node 633 : 0.0003562322
  node 335 : 0.0003560761
  node 340 : 0.0003560761
  node 346 : 0.0003559897
  node 345 : 0.0003559897
  node 828 : 0.0003528223
  node 537 : 0.0003527650
  node 961 : 0.0003527379
  node 1336 : 0.0003527103
  node 1499 : 0.0003526702
  node 1335 : 0.0003526565
  node 1439 : 0.0003525863
  node 486 : 0.0003525863
  node 1440 : 0.0003525863
  node 593 : 0.0003525615
  node 488 : 0.0003525030
  node 600 : 0.0003525019
  node 580 : 0.0003524774
  node 402 : 0.0003524750
  node 797 : 0.0003524502
  node 408 : 0.0003524222
  node 1143 : 0.0003524140
  node 1124 : 0.0003523181
  node 1491 : 0.0003523017
  node 1492 : 0.0003523017
  node 489 : 0.0003522172
  node 1532 : 0.0003521981
  node 1252 : 0.0003521840
  node 499 : 0.0003521489
  node 396 : 0.0003521480
  node 595 : 0.0003521138
  node 634 : 0.0003520847
  node 1189 : 0.0003520810
  node 745 : 0.0003519654
  node 746 : 0.0003518759
  node 492 : 0.0003518662
  node 343 : 0.0003518531
  node 496 : 0.0003516992
  node 914 : 0.0003484232
  node 710 : 0.0003484087
  node 754 : 0.0003484087
  node 853 : 0.0003483944
  node 552 : 0.0003483802
  node 1078 : 0.0003483802
  node 533 : 0.0003483515
  node 1705 : 0.0003483515
  node 1706 : 0.0003483515
  node 1707 : 0.0003483515
  node 1708 : 0.0003483515
  node 757 : 0.0003483243
  node 926 : 0.0003483106
  node 805 : 0.0003483099
  node 962 : 0.0003483095
  node 878 : 0.0003482833
  node 610 : 0.0003482819
  node 606 : 0.0003482819
  node 622 : 0.0003482672
  node 713 : 0.0003482546
  node 599 : 0.0003482256
  node 602 : 0.0003482118
  node 1123 : 0.0003481984
  node 1438 : 0.0003481870
  node 588 : 0.0003481762
  node 584 : 0.0003481336
  node 487 : 0.0003481078
  node 1330 : 0.0003480905
  node 1329 : 0.0003480905
  node 1328 : 0.0003480905
  node 399 : 0.0003480905
  node 393 : 0.0003480905
  node 642 : 0.0003480781
  node 373 : 0.0003480661
  node 472 : 0.0003480508
  node 1558 : 0.0003480508
  node 473 : 0.0003480508
  node 474 : 0.0003480508
  node 475 : 0.0003480508
  node 476 : 0.0003480508
  node 644 : 0.0003480508
  node 1279 : 0.0003480432
  node 684 : 0.0003480367
  node 687 : 0.0003480367
  node 688 : 0.0003480367
  node 685 : 0.0003480367
  node 686 : 0.0003480367
  node 683 : 0.0003480367
  node 377 : 0.0003480280
  node 376 : 0.0003480280
  node 388 : 0.0003480259
  node 641 : 0.0003480106
  node 454 : 0.0003480078
  node 453 : 0.0003480078
  node 1212 : 0.0003479973
  node 1217 : 0.0003479973
  node 640 : 0.0003479842
  node 1198 : 0.0003479842
  node 649 : 0.0003479842
  node 406 : 0.0003479799
  node 1289 : 0.0003479745
  node 1180 : 0.0003479716
  node 1179 : 0.0003479716
  node 400 : 0.0003479386
  node 1528 : 0.0003479351
  node 630 : 0.0003479227
  node 631 : 0.0003479227
  node 1191 : 0.0003479210
  node 1181 : 0.0003479210
  node 1534 : 0.0003479085
  node 1207 : 0.0003479078
  node 1204 : 0.0003479078
  node 1257 : 0.0003478961
  node 1211 : 0.0003478569
  node 1210 : 0.0003478569
  node 1292 : 0.0003478432
  node 608 : 0.0003478223
  node 361 : 0.0003477916
  node 358 : 0.0003477916
  node 363 : 0.0003477916
  node 359 : 0.0003477916
  node 632 : 0.0003477682
  node 734 : 0.0003477416
  node 370 : 0.0003477357
  node 350 : 0.0003477357
  node 368 : 0.0003477357
  node 354 : 0.0003477357
  node 497 : 0.0003477311
  node 502 : 0.0003477311
  node 495 : 0.0003477311
  node 494 : 0.0003477311
  node 493 : 0.0003477311
  node 744 : 0.0003477284
  node 739 : 0.0003477284
  node 728 : 0.0003477284
  node 725 : 0.0003477284
  node 747 : 0.0003477024
  node 735 : 0.0003477024
  node 740 : 0.0003477024
  node 643 : 0.0003477024
  node 366 : 0.0003476678
  node 356 : 0.0003476678
  node 743 : 0.0003476260
  node 732 : 0.0003476011
  node 733 : 0.0003476011
  node 748 : 0.0003476011
  node 736 : 0.0003476011
  node 503 : 0.0003475766
  node 500 : 0.0003475766
  node 347 : 0.0003475132
  node 353 : 0.0003475132
  node 355 : 0.0003475132
  node 357 : 0.0003475132
  node 576 : 0.0003440105
  node 1690 : 0.0003439958
  node 1691 : 0.0003439958
  node 1692 : 0.0003439958
  node 1693 : 0.0003439958
  node 1696 : 0.0003439958
  node 1697 : 0.0003439958
  node 1698 : 0.0003439958
  node 1699 : 0.0003439958
  node 1674 : 0.0003439958
  node 1040 : 0.0003439958
  node 1039 : 0.0003439958
  node 1720 : 0.0003439958
  node 1713 : 0.0003439958
  node 1712 : 0.0003439958
  node 1031 : 0.0003439958
  node 1030 : 0.0003439958
  node 1075 : 0.0003439958
  node 1684 : 0.0003439958
  node 1076 : 0.0003439958
  node 1683 : 0.0003439958
  node 1679 : 0.0003439958
  node 1678 : 0.0003439958
  node 1091 : 0.0003439958
  node 1677 : 0.0003439958
  node 1676 : 0.0003439958
  node 1675 : 0.0003439958
  node 1092 : 0.0003439958
  node 1093 : 0.0003439958
  node 1094 : 0.0003439958
  node 1117 : 0.0003439958
  node 1118 : 0.0003439958
  node 1371 : 0.0003439958
  node 1753 : 0.0003439958
  node 1749 : 0.0003439958
  node 1750 : 0.0003439958
  node 1751 : 0.0003439958
  node 1752 : 0.0003439958
  node 849 : 0.0003439958
  node 848 : 0.0003439958
